TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Potential_Fraud,Cluster
14.09,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,False,0
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,False,0
126.29,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,False,1
184.5,26.0,25.000000000000004,1.0,8569.06,Debit,Raleigh,Online,Student,False,1
13.45,26.0,198.0,1.0,7429.4,Credit,Atlanta,Online,Student,False,1
92.15,18.0,172.0,1.0,781.68,Debit,Oklahoma City,ATM,Student,True,1
7.08,37.0,139.0,1.0,13316.71,Credit,Seattle,ATM,Doctor,False,0
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Branch,Retired,False,2
106.23,51.0,86.0,1.0,9095.14,Credit,Detroit,Branch,Engineer,False,0
815.96,55.0,120.0,1.0,1021.8800000000001,Debit,Nashville,ATM,Doctor,False,0
17.78,52.0,59.00000000000001,1.0,7599.5199999999995,Credit,Albuquerque,Online,Engineer,False,0
190.02,21.0,173.0,1.0,1528.81,Debit,Memphis,Online,Student,False,1
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Branch,Student,False,1
781.76,26.0,123.0,1.0,189.69,Debit,Memphis,ATM,Student,False,1
166.99,18.0,134.0,1.0,299.93,Debit,Louisville,Online,Student,False,1
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,ATM,Engineer,False,0
555.8,19.0,158.0,1.0,1131.26,Credit,Austin,Branch,Student,False,1
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Online,Engineer,False,0
18.68,59.0,106.0,1.0,7948.369999999999,Credit,Albuquerque,Branch,Retired,False,2
71.48,18.0,169.0,1.0,6568.59,Credit,Columbus,Online,Student,False,1
59.32,71.0,37.99999999999999,1.0,5750.89,Debit,Los Angeles,Branch,Retired,False,2
85.77,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Branch,Doctor,False,0
52.2,39.0,120.0,1.0,8974.93,Debit,Atlanta,Online,Engineer,False,0
345.84,22.0,142.0,3.0,1402.5,Debit,Fort Worth,Online,Student,False,1
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,Online,Student,False,1
7.49,65.0,276.0,1.0,3634.67,Credit,Houston,Online,Retired,False,2
246.93,23.0,158.0,5.0,673.3499999999999,Debit,Miami,ATM,Student,False,1
40.32,37.0,95.0,1.0,2686.52,Debit,Milwaukee,Branch,Engineer,False,0
127.45,44.0,197.0,1.0,1772.06,Debit,Las Vegas,Online,Doctor,False,0
56.17,27.0,283.0,1.0,1351.69,Debit,Detroit,Branch,Student,False,1
28.31,59.0,20.0,1.0,8334.47,Credit,Miami,Online,Doctor,False,0
59.12,29.0,257.0,1.0,9823.64,Debit,Baltimore,ATM,Doctor,False,0
396.45,49.0,168.00000000000003,3.0,9690.15,Debit,New York,ATM,Engineer,False,0
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,Online,Student,False,1
255.26,45.0,50.00000000000001,1.0,14815.87,Credit,San Francisco,Branch,Doctor,False,0
124.76,49.0,45.0,1.0,5764.72,Debit,Seattle,Branch,Engineer,False,0
78.13,26.0,145.0,1.0,900.61,Debit,Milwaukee,Branch,Student,False,1
649.28,75.0,137.0,1.0,4875.86,Debit,San Jose,ATM,Retired,False,2
795.31,66.0,90.0,2.0,7914.879999999999,Debit,Mesa,ATM,Doctor,False,0
335.63,55.0,215.99999999999997,1.0,1019.39,Debit,Oklahoma City,Online,Retired,True,2
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,ATM,Retired,False,2
34.02,38.0,18.999999999999996,1.0,14214.48,Debit,Philadelphia,Online,Doctor,False,0
241.42000000000002,57.0,116.00000000000001,1.0,13357.02,Credit,Charlotte,Online,Doctor,False,0
55.32,19.0,117.0,1.0,241.79000000000002,Debit,Tucson,ATM,Student,False,1
304.31,27.0,33.0,1.0,868.61,Debit,Louisville,Branch,Student,False,1
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,Branch,Retired,False,2
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,Branch,Student,False,1
510.23999999999995,19.0,105.0,1.0,781.7,Debit,Oklahoma City,Online,Student,True,1
626.9,26.0,138.0,1.0,265.51,Debit,Denver,Online,Student,False,1
22.01,41.0,175.0,1.0,1335.09,Credit,Sacramento,Online,Engineer,False,0
425.34,69.0,121.0,1.0,3907.5399999999995,Credit,Kansas City,Online,Retired,False,2
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,Online,Engineer,False,0
85.43,67.0,145.0,1.0,14904.9,Debit,Virginia Beach,Branch,Doctor,False,0
169.5,28.0,142.0,1.0,918.8799999999999,Debit,San Diego,Branch,Student,False,1
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,ATM,Retired,False,2
316.95,25.0,83.0,1.0,1324.03,Debit,Mesa,Branch,Student,False,1
60.540000000000006,57.0,52.00000000000001,1.0,3534.93,Credit,Columbus,Branch,Retired,False,2
292.56,68.0,61.00000000000001,1.0,4638.37,Credit,Dallas,Branch,Retired,False,2
386.52,48.0,28.0,1.0,5630.61,Debit,Indianapolis,Branch,Engineer,False,0
112.07,23.0,51.00000000000001,1.0,930.3,Debit,Kansas City,Branch,Student,False,1
568.52,46.0,151.99999999999997,1.0,5499.91,Debit,Indianapolis,ATM,Engineer,False,0
263.99,79.0,227.0,2.0,4175.02,Debit,Dallas,Branch,Retired,False,2
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,Online,Engineer,False,0
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,Branch,Engineer,False,0
5.77,50.0,123.99999999999999,1.0,13988.12,Debit,Charlotte,Online,Doctor,False,0
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,Branch,Engineer,False,0
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,Branch,Retired,False,2
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,Branch,Student,False,1
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,Online,Engineer,False,0
189.12,32.0,103.0,1.0,977.01,Credit,Indianapolis,Branch,Engineer,False,0
133.55,44.0,220.0,1.0,3846.2800000000007,Debit,Atlanta,ATM,Engineer,False,0
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,Online,Engineer,False,0
24.77,62.0,55.0,1.0,5866.01,Debit,Boston,ATM,Retired,False,2
233.92,26.0,280.0,1.0,6537.62,Credit,Jacksonville,Online,Student,False,1
1212.51,20.0,24.0,1.0,605.9499999999999,Debit,Indianapolis,Branch,Student,False,1
232.12,37.0,51.00000000000001,1.0,6689.87,Debit,Omaha,ATM,Engineer,False,0
162.63,22.0,113.0,1.0,634.17,Debit,Kansas City,Online,Student,False,1
91.53,44.0,69.00000000000001,1.0,14676.05,Debit,Milwaukee,Branch,Doctor,False,0
120.29,19.0,77.0,1.0,1362.39,Debit,Miami,Branch,Student,False,1
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,Online,Doctor,False,0
183.71,38.0,102.0,1.0,552.52,Debit,Denver,ATM,Engineer,False,0
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,Online,Engineer,False,0
922.55,63.0,87.0,1.0,4715.84,Debit,Detroit,ATM,Retired,False,2
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,Online,Doctor,False,0
154.71,34.0,157.0,1.0,1523.72,Debit,San Diego,Online,Doctor,False,0
1340.19,54.0,30.0,1.0,8654.28,Credit,Austin,Online,Engineer,False,0
24.56,64.0,69.00000000000001,1.0,9869.93,Debit,Mesa,Branch,Doctor,False,0
568.07,48.0,115.0,1.0,10556.81,Debit,Washington,ATM,Doctor,False,0
9.61,58.0,179.0,1.0,12883.91,Credit,San Diego,Online,Doctor,False,0
392.96,24.0,100.00000000000001,1.0,791.65,Debit,Kansas City,Online,Student,False,1
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,Online,Retired,False,2
223.85,53.0,55.0,4.0,2929.91,Debit,Kansas City,ATM,Engineer,False,0
230.66,21.0,135.0,1.0,618.05,Debit,Houston,Branch,Student,False,1
442.12,19.0,260.0,1.0,1375.8,Debit,Los Angeles,Online,Student,False,1
644.17,29.0,72.0,1.0,1143.52,Debit,San Antonio,ATM,Engineer,False,0
508.67999999999995,51.0,127.0,1.0,7708.41,Credit,Mesa,Branch,Engineer,False,0
858.63,27.0,185.0,1.0,1872.96,Credit,San Francisco,Branch,Student,False,1
25.36,57.0,78.0,1.0,201.04,Debit,Louisville,ATM,Engineer,False,0
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,Branch,Retired,False,2
115.02,37.0,175.0,1.0,7643.66,Debit,San Antonio,Branch,Doctor,False,0
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,Branch,Engineer,False,0
98.54,20.0,167.0,1.0,9383.43,Credit,El Paso,Online,Student,False,1
83.24,55.0,164.0,1.0,1181.31,Credit,Fort Worth,Branch,Doctor,False,0
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,Branch,Engineer,False,0
129.94,32.0,235.0,1.0,7954.919999999999,Debit,Las Vegas,ATM,Engineer,False,0
306.9,46.0,51.00000000000001,1.0,9418.08,Debit,Colorado Springs,Online,Engineer,False,0
114.98,59.0,80.0,1.0,6144.68,Debit,Seattle,Online,Retired,False,2
756.59,27.0,17.0,1.0,420.65,Debit,Sacramento,Branch,Student,False,1
503.76000000000005,22.0,35.0,1.0,447.82,Debit,Los Angeles,Online,Student,False,1
143.03,63.0,147.0,1.0,7981.450000000001,Debit,San Antonio,ATM,Retired,False,2
1045.22,53.0,73.0,1.0,1829.9,Debit,Columbus,ATM,Retired,False,2
245.54,25.0,180.0,1.0,985.0600000000001,Debit,New York,ATM,Student,False,1
254.37000000000003,51.0,174.0,1.0,8849.26,Credit,Dallas,Online,Engineer,False,0
213.76,78.0,282.0,1.0,3528.72,Credit,Dallas,ATM,Retired,False,2
327.86,40.0,104.0,1.0,480.16,Debit,Fresno,Online,Engineer,True,0
2.5,47.0,107.0,1.0,12145.27,Debit,San Diego,Online,Doctor,False,0
300.08,68.0,47.0,1.0,13546.75,Credit,Austin,Online,Doctor,False,0
56.98,43.0,122.0,2.0,5688.37,Credit,Oklahoma City,ATM,Engineer,True,0
407.65,26.0,61.99999999999999,1.0,8346.64,Debit,Boston,Online,Engineer,False,0
115.83,39.0,167.0,1.0,6481.04,Debit,Fresno,Branch,Engineer,True,0
53.57,69.0,121.0,1.0,1651.33,Debit,Houston,ATM,Retired,False,2
63.34,46.0,165.0,1.0,11174.94,Credit,Detroit,Online,Doctor,False,0
317.87,27.0,91.0,1.0,145.5,Debit,Detroit,Online,Student,False,1
331.65,41.0,61.00000000000001,1.0,4172.57,Debit,Portland,Online,Engineer,False,0
5.04,56.0,41.0,1.0,5558.36,Debit,Washington,ATM,Retired,False,2
214.54,70.0,247.0,1.0,11151.53,Credit,Detroit,Online,Doctor,False,0
598.81,57.0,158.0,1.0,1415.52,Debit,Philadelphia,Branch,Doctor,False,0
841.28,26.0,80.0,1.0,1103.64,Debit,Tucson,Online,Student,False,1
38.15,26.0,107.99999999999999,1.0,303.68,Debit,Mesa,Online,Student,False,1
1036.66,58.0,144.0,1.0,5541.57,Debit,San Antonio,Branch,Doctor,False,0
124.72,33.0,105.0,1.0,6309.8,Debit,Oklahoma City,Branch,Engineer,False,0
302.45,78.0,40.0,1.0,5133.61,Credit,San Antonio,Branch,Retired,False,2
208.04,47.0,273.0,1.0,9344.98,Debit,Louisville,Online,Engineer,False,0
5.77,23.0,254.0,1.0,1117.97,Credit,Los Angeles,Branch,Student,False,1
381.33,56.0,75.0,1.0,11835.35,Debit,Albuquerque,ATM,Doctor,False,0
16.16,50.0,123.99999999999999,1.0,14401.17,Debit,Milwaukee,ATM,Doctor,False,0
486.0799999999999,18.0,68.00000000000001,1.0,1748.69,Debit,Oklahoma City,Online,Student,True,1
336.39,21.0,18.0,1.0,1000.46,Debit,San Antonio,Branch,Student,False,1
997.4299999999998,69.0,118.0,1.0,6810.05,Debit,Seattle,Online,Doctor,False,0
234.57,23.0,120.0,1.0,263.98,Debit,Chicago,Online,Student,False,1
6.0,30.0,246.0,1.0,5442.76,Debit,Chicago,Online,Doctor,False,0
1049.92,80.0,21.000000000000004,1.0,2037.85,Debit,Detroit,ATM,Retired,False,2
227.14,18.0,294.0,1.0,341.94,Debit,Charlotte,ATM,Student,False,1
233.74,66.0,17.0,1.0,1066.59,Credit,Oklahoma City,Online,Retired,True,2
113.02,69.0,166.0,1.0,6077.96,Credit,Jacksonville,Branch,Retired,False,2
45.85,20.0,91.99999999999999,1.0,1659.15,Debit,Los Angeles,ATM,Student,False,1
973.3899999999999,77.0,296.0,1.0,2042.22,Debit,Sacramento,Branch,Retired,False,2
514.95,41.0,142.0,5.0,421.93,Debit,New York,Online,Doctor,False,0
415.5,66.0,141.0,1.0,10113.66,Debit,Memphis,ATM,Doctor,False,0
265.76,54.0,91.99999999999999,1.0,4446.17,Debit,Philadelphia,Online,Retired,False,2
69.4,80.0,113.0,1.0,6452.77,Debit,Virginia Beach,Online,Retired,False,2
332.93,35.0,293.0,1.0,2788.2,Credit,Albuquerque,Branch,Engineer,False,0
267.9,20.0,160.0,1.0,596.1599999999999,Debit,San Antonio,Online,Student,False,1
496.0299999999999,61.0,265.0,1.0,12904.66,Debit,San Francisco,Branch,Doctor,False,0
376.26,37.0,245.0,1.0,9062.4,Debit,Tucson,ATM,Engineer,False,0
83.02,36.0,171.0,1.0,9009.56,Credit,Seattle,Online,Engineer,False,0
93.26,20.0,72.0,1.0,1152.2,Credit,New York,Online,Student,False,1
803.37,68.0,129.0,1.0,12168.37,Credit,Memphis,Branch,Doctor,False,0
35.76,23.0,122.0,1.0,611.8599999999999,Debit,Charlotte,Branch,Student,False,1
28.53,62.0,99.0,1.0,8670.53,Debit,Washington,Online,Doctor,False,0
139.53,53.0,177.0,1.0,10098.86,Credit,Louisville,Online,Doctor,False,0
307.57,33.0,285.0,1.0,5307.74,Debit,Detroit,Branch,Doctor,False,0
60.650000000000006,56.0,53.00000000000001,1.0,1047.28,Credit,Tucson,Branch,Retired,False,2
74.86,70.0,125.0,1.0,6921.48,Debit,Nashville,Branch,Doctor,False,0
117.97,51.0,137.0,1.0,1475.46,Debit,Kansas City,Branch,Retired,False,2
231.91,34.0,165.0,1.0,112.76,Debit,Memphis,ATM,Engineer,False,0
126.20999999999998,75.0,268.0,1.0,5669.66,Debit,Baltimore,Branch,Retired,False,2
506.28,53.0,162.0,2.0,1309.95,Credit,Chicago,Online,Retired,False,2
304.35,31.0,36.0,1.0,4057.1,Debit,Houston,Branch,Engineer,False,0
281.85,22.0,109.0,1.0,1585.98,Debit,Detroit,ATM,Student,False,1
